BD	BMU
BE	BEL
BF	BHS
BG	BGD
BA	BHR
BB	BRB
BC	BWA
BL	BOL
BM	MMR
BN	BEN
BO	BLR
BH	BLZ
WE	PSE
WI	ESH
BK	BIH
BT	BTN
BU	BGR
BV	BVT
JO	JOR
WS	WSM
TP	STP
BR	BRA
JE	JEY
BX	BRN
BY	BDI
RW	RWA
RP	PHL
WA	NAM
RS	RUS
TL	TKL
RE	REU
RM	MHL
RN	MAF
RO	ROU
RI	SRB
TK	TCA
GV	GIN
GT	GTM
GR	GRC
GQ	GUM
GP	GLP
YM	YEM
LQ	UMI
GZ	PSE
GY	GUY
JQ	UMI
GG	GEO
GB	GAB
GA	GMB
SV	SJM
GM	DEU
GL	GRL
GK	GGY
GJ	GRD
GI	GIB
GH	GHA
JM	JAM
OD	SSD
JN	SJM
BP	SLB
BQ	UMI
WF	WLF
WQ	UMI
HR	HRV
HQ	UMI
HU	HUN
HK	HKG
VC	VCT
HO	HND
HM	HMD
HA	HTI
ZI	ZWE
PS	PLW
PP	PNG
PU	GNB
KQ	UMI
JA	JPN
PC	PCN
PA	PRY
VM	VNM
PE	PER
PK	PAK
TS	TUN
PO	PRT
PL	POL
PM	PAN
EN	EST
EI	IRL
SM	SMR
EK	GNQ
EG	EGY
SL	SLE
UP	UKR
ZA	ZMB
EC	ECU
IT	ITA
EZ	CZE
ET	ETH
IV	CIV
ES	SLV
ER	ERI
MD	MDA
MG	MNG
MF	MYT
MA	MDG
MC	MAC
MB	MTQ
ML	MLI
MO	MAR
UV	BFA
MI	MWI
MH	MSR
MK	MKD
MJ	MNE
MU	OMN
MT	MLT
MV	MDV
MQ	UMI
MP	MUS
UK	GBR
MR	MRT
IM	IMN
UG	UGA
MY	MYS
MX	MEX
UC	CUW
MZ	MOZ
FP	PYF
FQ	UMI
FR	FRA
FS	ATF
IN	IND
VT	VAT
UZ	UZB
FG	GUF
FI	FIN
FJ	FJI
FK	FLK
FM	FSM
FO	FRO
NH	VUT
NI	NGA
NL	NLD
NN	SXM
NO	NOR
NC	NCL
NE	NIU
NF	NFK
NG	NER
NZ	NZL
NP	NPL
NR	NRU
NS	SUR
NU	NIC
IR	IRN
CK	CCK
CJ	CYM
CI	CHL
CH	CHN
CO	COL
CN	COM
CM	CMR
SN	SGP
CB	KHM
CA	CAN
CG	COD
CF	COG
CE	LKA
CD	TCD
CY	CYP
CS	CRI
UY	URY
CQ	MNP
CW	COK
CV	CPV
CU	CUB
CT	CAF
SZ	CHE
SY	SYR
SX	SGS
KG	KGZ
KE	KEN
SP	ESP
SW	SWE
KN	PRK
SU	SDN
ST	LCA
KS	KOR
KR	KIR
SI	SVN
SH	SHN
SO	SOM
KV	SRB
KU	KWT
KT	CXR
SC	KNA
KZ	KAZ
SA	SAU
SG	SEN
SF	ZAF
SE	SYC
DO	DMA
MN	MCO
DJ	DJI
DA	DNK
US	USA
DR	DOM
DQ	UMI
LG	LVA
LE	LBN
TZ	TZA
TX	TKM
LA	LAO
TV	TUV
LO	SVK
TT	TLS
TU	TUR
RQ	PRI
LH	LTU
LI	LBR
TN	TON
TO	TGO
LT	LSO
LU	LUX
LS	LIE
TH	THA
TI	TJK
TD	TTO
TB	BLM
LY	LBY
AA	ABW
AC	ATG
IZ	IRQ
AE	ARE
VE	VEN
AG	DZA
AF	AFG
SB	SPM
VI	VGB
IS	ISR
AJ	AZE
AM	ARM
AL	ALB
AO	AGO
AN	AND
AQ	ASM
VQ	VIR
AS	AUS
AR	ARG
AU	AUT
IO	IOT
AV	AIA
AY	ATA
AX	ALA
IC	ISL
ID	IDN
WZ	SWZ
QA	QAT
TW	TWN
